Date,Price,Open,High,Low,Vol.,Change %
24-Dec-14,"17,854.23",17842.04,"17,875.41","17,800.42",126.45K,1.24%
22-Dec-14,"17,635.14",17685.53,"17,692.58","17,572.62",128.46K,0.08%
19-Dec-14,"17,621.40",17511.01,"17,621.40","17,471.60",175.76K,2.39%
18-Dec-14,"17,210.05",17142.95,"17,274.23","17,136.41",186.25K,2.32%
17-Dec-14,"16,819.73",16689.34,"16,891.02","16,672.94",161.29K,0.38%
16-Dec-14,"16,755.32",16862.42,"16,895.39","16,714.83",160.33K,-2.01%
15-Dec-14,"17,099.40",17111.49,"17,258.32","17,037.21",146.42K,-1.57%
12-Dec-14,"17,371.58",17317.69,"17,526.19","17,298.19",214.50K,0.66%
11-Dec-14,"17,257.40",17180.49,"17,289.73","17,043.63",151.43K,-0.89%
10-Dec-14,"17,412.58",17623.35,"17,658.14","17,308.82",169.62K,-2.25%
9-Dec-14,"17,813.38",17820.24,"17,892.16","17,773.30",140.39K,-0.68%
8-Dec-14,"17,935.64",18004.66,"18,030.83","17,869.74",134.66K,0.08%
5-Dec-14,"17,920.45",17821.85,"17,922.29","17,759.36",128.90K,0.19%
4-Dec-14,"17,887.21",17881.91,"17,912.59","17,813.01",142.19K,0.94%
3-Dec-14,"17,720.43",17772.15,"17,881.76","17,696.36",158.73K,0.32%
2-Dec-14,"17,663.22",17481.06,"17,687.70","17,476.42",125.23K,0.42%
1-Dec-14,"17,590.10",17475.1,"17,649.02","17,474.27",125.91K,0.75%
28-Nov-14,"17,459.85",17340.16,"17,471.90","17,330.84",149.11K,1.23%
27-Nov-14,"17,248.50",17310.49,"17,346.85","17,212.48",129.08K,-0.78%
26-Nov-14,"17,383.58",17347.97,"17,432.57","17,335.99",136.50K,-0.14%
25-Nov-14,"17,407.62",17490.39,"17,490.39","17,372.71",170.60K,0.29%
21-Nov-14,"17,357.51",17285.72,"17,381.59","17,108.20",156.31K,0.33%
20-Nov-14,"17,300.86",17407.69,"17,407.69","17,270.70",144.00K,0.07%
19-Nov-14,"17,288.75",17384.31,"17,472.57","17,280.76",170.07K,-0.32%
18-Nov-14,"17,344.06",17188.84,"17,356.76","17,186.50",158.07K,2.18%
17-Nov-14,"16,973.80",17381.38,"17,409.32","16,907.43",192.80K,-2.96%
14-Nov-14,"17,490.83",17520.54,"17,520.54","17,300.19",195.99K,0.56%
13-Nov-14,"17,392.79",17192,"17,400.77","17,099.95",159.83K,1.14%
12-Nov-14,"17,197.05",17253.12,"17,443.74","17,170.00",193.31K,0.43%
11-Nov-14,"17,124.11",16869.49,"17,160.12","16,855.30",153.99K,2.05%
10-Nov-14,"16,780.53",16758.27,"16,818.05","16,713.37",125.55K,-0.59%
7-Nov-14,"16,880.38",16934.04,"16,938.20","16,824.08",153.33K,0.52%
6-Nov-14,"16,792.48",16993.46,"17,045.94","16,725.45",199.00K,-0.86%
5-Nov-14,"16,937.32",16785.44,"16,995.02","16,778.28",232.23K,0.44%
4-Nov-14,"16,862.47",16732.85,"17,127.66","16,720.99",335.61K,2.73%
31-Oct-14,"16,413.76",15817.14,"16,533.91","15,817.14",268.50K,4.83%
30-Oct-14,"15,658.20",15596.5,"15,701.04","15,584.83",184.06K,0.67%
29-Oct-14,"15,553.91",15442.39,"15,595.29","15,394.79",148.83K,1.46%
28-Oct-14,"15,329.91",15363.28,"15,374.46","15,263.36",122.27K,-0.38%
27-Oct-14,"15,388.72",15404.28,"15,424.05","15,333.71",120.97K,0.63%
24-Oct-14,"15,291.64",15354.35,"15,377.05","15,232.00",121.82K,1.01%
23-Oct-14,"15,138.96",15093.78,"15,232.51","15,059.64",119.56K,-0.37%
22-Oct-14,"15,195.77",15038.19,"15,195.78","15,001.43",137.45K,2.64%
21-Oct-14,"14,804.28",15115.29,"15,115.29","14,761.84",142.98K,-2.03%
20-Oct-14,"15,111.23",14822.84,"15,111.23","14,819.69",161.97K,3.98%
17-Oct-14,"14,532.51",14796.32,"14,830.67","14,529.03",178.56K,-1.40%
16-Oct-14,"14,738.38",14805.16,"14,807.08","14,672.55",198.89K,-2.22%
15-Oct-14,"15,073.52",15009.75,"15,084.61","14,916.65",152.60K,0.92%
14-Oct-14,"14,936.51",15036.87,"15,089.90","14,919.71",186.22K,-2.38%
10-Oct-14,"15,300.55",15292.88,"15,345.78","15,221.83",186.09K,-1.15%
9-Oct-14,"15,478.93",15681.53,"15,732.32","15,461.09",141.00K,-0.75%
8-Oct-14,"15,595.98",15574.6,"15,643.63","15,520.81",150.25K,-1.19%
7-Oct-14,"15,783.83",15841.17,"15,913.52","15,755.57",134.77K,-0.67%
6-Oct-14,"15,890.95",15882.28,"15,970.65","15,808.22",127.56K,1.16%
