Date,Open,High,Low,Close,
5/26/2021,37656,40859,37526,38731,
5/25/2021,39067,39845,36553,37656,
5/24/2021,33791,39831,33715,38999,
5/23/2021,38093,38397,31228,33791,
5/22/2021,35250,38800,33623,38086,
5/21/2021,40108,42124,35263,35263,
5/20/2021,38468,42569,35132,40108,
5/19/2021,43367,43569,30445,38390,
5/18/2021,44853,45816,42539,43318,
5/17/2021,44062,46552,42162,44843,
5/16/2021,48266,49812,43893,44062,
5/15/2021,49351,50661,47128,48255,
5/14/2021,49253,51543,48528,49351,
5/13/2021,54540,54820,46710,49253,
5/12/2021,56942,57977,53646,54540,
5/11/2021,55328,56949,54612,56942,
5/10/2021,58001,59552,54000,55328,
5/9/2021,59014,59318,56530,57982,
5/8/2021,57713,59556,56915,59014,
5/7/2021,55987,58683,55350,57699,
5/6/2021,56863,58334,55427,55987,
5/5/2021,54842,57909,53058,56854,
5/4/2021,56821,57465,53330,54842,
5/3/2021,57016,58973,56306,56826,
5/2/2021,57685,57948,56130,57016,
5/1/2021,56812,58459,56726,57700,
4/30/2021,52991,57295,52871,56803,
4/29/2021,54456,55191,52408,53006,
4/28/2021,55180,56369,53913,54456,
4/27/2021,53297,55289,52689,55067,
4/26/2021,48065,54363,47110,53297,
4/25/2021,50955,51113,48075,48075,
4/24/2021,50556,51215,48821,50955,
4/23/2021,51597,52220,47657,50620,
4/22/2021,55029,55410,51515,51843,
4/21/2021,56781,57079,54346,55029,
4/20/2021,56175,57035,53463,56852,
4/19/2021,56231,57554,54305,56175,
4/18/2021,60843,60966,51907,56239,
4/17/2021,61977,62490,59747,60843,
4/16/2021,63381,63769,60081,61962,
4/15/2021,62403,63649,62034,63381,
4/14/2021,63196,64788,61368,62357,
4/13/2021,60000,63621,59783,63196,
4/12/2021,59607,61224,59429,60011,
4/11/2021,58606,60649,58599,59607,
4/10/2021,58354,61197,57876,58621,
4/9/2021,57677,58879,57473,58354,
4/8/2021,56221,58134,55752,57681,
4/7/2021,58244,58624,55494,56157,
4/6/2021,58800,59469,57391,58244,
4/5/2021,58030,59231,56886,58810,
4/4/2021,58038,58463,56504,58030,
4/3/2021,58655,59797,57848,58063,
4/2/2021,58862,60118,58526,58655,
4/1/2021,58932,59441,58021,58855,
3/31/2021,58671,59831,57054,58932,
3/30/2021,57250,59408,57078,58671,
3/29/2021,54863,58335,54830,57176,
3/28/2021,55909,56616,54740,54863,
3/27/2021,54014,56254,53986,55916,
3/26/2021,51989,54262,51309,54014,
3/25/2021,54175,54175,50485,51989,
3/24/2021,54445,57159,53294,54175,
3/23/2021,54610,55816,53100,54346,
3/22/2021,57788,58373,54316,54610,
3/21/2021,58466,58792,55578,57792,
3/20/2021,58404,59909,57890,58466,
3/19/2021,57533,59436,56303,58426,
3/18/2021,57706,60040,57145,57533,
3/17/2021,56392,58197,54298,57834,
3/16/2021,56398,56952,53311,56379,
3/15/2021,60259,60738,55030,56398,
3/14/2021,61002,61674,59348,60173,
3/13/2021,56990,61732,56144,61002,
3/12/2021,57721,58118,55160,56981,
3/11/2021,56954,57918,54416,57721,
3/10/2021,54313,57357,53235,56932,
3/9/2021,51883,54818,51448,54313,
3/8/2021,50104,51949,49368,51896,
3/7/2021,48592,51343,48552,50104,
3/6/2021,49138,49391,47147,48583,
3/5/2021,47917,49442,46472,49138,
3/4/2021,50952,51777,47555,47924,
3/3/2021,47466,52564,47422,50952,
3/2/2021,48844,50200,47144,47477,
3/1/2021,45254,49412,44970,48844,
2/28/2021,46844,46859,43197,45255,
2/27/2021,45680,48321,45118,46844,
2/26/2021,48199,48821,44246,45621,
2/25/2021,48720,52054,48119,48199,
2/24/2021,48084,51337,47039,48720,
2/23/2021,54919,55032,45212,48016,
2/22/2021,57332,57616,48034,54919,
2/21/2021,56523,58315,54040,57332,
2/20/2021,55493,57485,55101,56501,
2/19/2021,52051,56211,50880,55493,
2/18/2021,52333,52524,51023,52059,
2/17/2021,48607,52619,48590,52333,
2/16/2021,48183,50513,47186,48642,
2/15/2021,48840,49277,45944,48183,
2/14/2021,47210,49698,46954,48921,
2/13/2021,47962,48143,46342,47210,
2/12/2021,46943,48842,46438,47853,
2/11/2021,45050,48593,44090,46943,
2/10/2021,47357,47357,43783,45039,
2/9/2021,44692,48219,44356,47357,
2/8/2021,38610,44797,38085,44797,
2/7/2021,40085,40481,37422,38610,
2/6/2021,37853,40972,37714,40103,
2/5/2021,37687,38325,36642,37853,
2/4/2021,37284,38725,36281,37712,
2/3/2021,35710,37450,35473,37284,
2/2/2021,33667,35982,33470,35686,
2/1/2021,32608,34698,32397,33667,
1/31/2021,34649,34789,32237,32626,
1/30/2021,34642,35344,32880,34649,
1/29/2021,33274,38641,32002,34715,
1/28/2021,30941,33286,29970,33274,
1/27/2021,31993,32879,29288,31030,
1/26/2021,32681,32812,30921,31993,
1/25/2021,31934,34860,31731,32643,
1/24/2021,32399,33069,31012,31934,
1/23/2021,33375,33642,31471,32340,
1/22/2021,31275,33842,28898,33375,
1/21/2021,34919,35664,31048,31275,
1/20/2021,36494,36788,33487,34892,
1/19/2021,36252,37843,36170,36494,
1/18/2021,36530,37433,34841,36255,
1/17/2021,35935,36828,33928,36530,
1/16/2021,36324,37938,35624,35785,
1/15/2021,38757,39673,34446,36324,
1/14/2021,37248,40030,36799,38863,
1/13/2021,34736,37358,32466,37248,
1/12/2021,34088,36612,32585,34766,
1/11/2021,37984,38931,30323,34184,
1/10/2021,40802,41423,35193,37984,
1/9/2021,39927,41401,38775,40769,
1/8/2021,39596,41958,36722,39927,
1/7/2021,35934,40358,35806,39596,
1/6/2021,33788,36452,33478,35848,
1/5/2021,31029,34221,29991,33788,
1/4/2021,33581,33649,28258,31027,
1/3/2021,31714,34524,31494,33581,
1/2/2021,29243,33219,29050,31690,
1/1/2021,28965,29650,28754,29259,
